,,,Module Penning + VVS,,,,NEG,,,,Module,,,,NEG,,,,Module,,,,NEG,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module + SVT,,,,NEG,,,,Double Module - Beam Stopper,,,,NEG,,,,Module,,,,NEG,,,,Module + VIP,,,,Spare Chambers,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module + VIP,,,,Spare Chambers,,,,Module + VIP,,,,TCLA,,,,Module + VIP,,,,NEG,,,,Module Penning + VVS,,,
%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_Segment = [,,%,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,0,0,0,23,0,0,0,24,0,0,0,25,0,0,0,26,0,0,0,27,0,0,0,28,0,0,0,29,0,0,0,30,0,0,0,31,0,0,0
in_d = [,[mm],%,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0
in_L = [,[mm],%,300,0,0,0,7000,0,0,0,300,0,0,0,7000,0,0,0,300,0,0,0,7000,0,0,0,520,0,0,0,1480,0,0,0,520,0,0,0,1480,0,0,0,520,0,0,0,7000,0,0,0,300,0,0,0,3795,0,0,0,600,0,0,0,7000,0,0,0,300,0,0,0,7000,0,0,0,520,0,0,0,1480,0,0,0,520,0,0,0,1480,0,0,0,520,0,0,0,1300,0,0,0,520,0,0,0,1480,0,0,0,520,0,0,0,1480,0,0,0,520,0,0,0,2125,0,0,0,300,0,0,0
in_dist_ref = [,[mm],%,0,0,0,0,300,0,0,0,7300,0,0,0,7600,0,0,0,14600,0,0,0,14900,0,0,0,21900,0,0,0,22420,0,0,0,23900,0,0,0,24420,0,0,0,25900,0,0,0,26420,0,0,0,33420,0,0,0,33720,0,0,0,37515,0,0,0,38115,0,0,0,45115,0,0,0,45415,0,0,0,52415,0,0,0,52935,0,0,0,54415,0,0,0,54935,0,0,0,56415,0,0,0,56935,0,0,0,58235,0,0,0,58755,0,0,0,60235,0,0,0,60755,0,0,0,62235,0,0,0,62755,0,0,0,64880,0,0,0
in_T = [,[K],%,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0
in_S = [,[l/s] (H2),%,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CH4),%,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO),%,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
,[l/s] (CO2),%,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E-09,6.00E-11,7.50E-10,7.50E-10,0,0,0,0,0,0,0,0
in_sigma = [,,%,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0
,,%,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0
,,%,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0
,,%,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23,0,0,0,1.00E-23
in_alpha = [,,%,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,0.05,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0,0,0
,,%,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0
,,%,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0
,,%,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,0.50,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,0.005,0,0,0,1.00E-12
in_alpha_p = [,,%,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0
,,%,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0
,,%,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0
,,%,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12,0,0,0,1.00E-12
in_eta_i = [,,%,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964,0.541818964
