,,,Forward chamber - part 2,,,,Forward chamber - part 1,,,,EWB module - 15.5m,,,,CT2 chamber,,,,CT2 dish assembly - pumping,,,,CT2 dish assembly - part 2,,,,CT2 dish assembly - part 1,,,,HF chamber - part 2,,,,HF chamber - part 1,,,,End Cap chamber - part 11,,,,End Cap chamber - part 10,,,,End Cap chamber - part 9,,,,End Cap chamber - part 8,,,,End Cap chamber - part 7,,,,End Cap chamber - part 6,,,,End Cap chamber - part 5,,,,End Cap chamber - part 4,,,,End Cap chamber - part 3,,,,End Cap chamber - part 2,,,,End Cap chamber - part 1,,,,End Cap chamber - compensator 3.2m,,,,VC5C flange,,,,VC5C cone - part 2,,,,VC5C cone - part 1,,,,VC5C - central part,,,,VC5C cone - part 1,,,,VC5C cone - part 2,,,,VC5C flange,,,,End Cap chamber - compensator 3.2m,,,,End Cap chamber - part 1,,,,End Cap chamber - part 2,,,,End Cap chamber - part 3,,,,End Cap chamber - part 4,,,,End Cap chamber - part 5,,,,End Cap chamber - part 6,,,,End Cap chamber - part 7,,,,End Cap chamber - part 8,,,,End Cap chamber - part 9,,,,End Cap chamber - part 10,,,,End Cap chamber - part 11,,,,HF chamber - part 1,,,,HF chamber - part 2,,,,CT2 dish assembly - part 1,,,,CT2 dish assembly - part 2,,,,CT2 dish assembly - pumping,,,,CT2 chamber,,,,EWB module - 15.5m,,,,Forward chamber - part 1,,,,Forward chamber - part 2,,,
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_e = [,,%,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,1.80E-03,6.50E-05,4.50E-04,3.90E-04,3.30E-05,8.30E-07,1.70E-05,1.70E-05,1.80E-03,6.50E-05,4.50E-04,3.90E-04,1.80E-03,6.50E-05,4.50E-04,3.90E-04,1.80E-03,6.50E-05,4.50E-04,3.90E-04,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05,1.80E-03,6.50E-05,4.50E-04,3.90E-04,1.80E-03,6.50E-05,4.50E-04,3.90E-04,1.80E-03,6.50E-05,4.50E-04,3.90E-04,3.30E-05,8.30E-07,1.70E-05,1.70E-05,1.80E-03,6.50E-05,4.50E-04,3.90E-04,3.30E-05,8.30E-07,1.70E-05,1.70E-05,3.30E-05,8.30E-07,1.70E-05,1.70E-05
in_eta_p_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_ph = [,,%,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.90E-09,1.20E-08,1.20E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,1.50E-04,4.00E-06,1.50E-05,2.50E-05,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,1.50E-04,4.00E-06,1.50E-05,2.50E-05,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.90E-09,1.20E-08,1.20E-08,1.50E-04,4.00E-06,1.50E-05,2.50E-05,2.50E-07,2.90E-09,1.20E-08,1.20E-08,2.50E-07,2.90E-09,1.20E-08,1.20E-08
in_eta_p_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Cbs = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Qth = [,,%,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,2.45163E-11,7.15629E-14,1.48197E-13,2.77457E-14,5E-14,3E-17,1E-14,1E-14,0,0,0,0,4.29379E-12,1.78908E-17,1.78908E-17,1.78908E-17,2.86252E-12,1.78908E-17,1.78908E-17,1.78908E-17,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,4.22893E-12,2.11447E-15,1.05723E-14,1.05723E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,4.22893E-12,2.11447E-15,1.05723E-14,1.05723E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14,2.86252E-12,1.78908E-17,1.78908E-17,1.78908E-17,4.29379E-12,1.78908E-17,1.78908E-17,1.78908E-17,0,0,0,0,5E-14,3E-17,1E-14,1E-14,2.45163E-11,7.15629E-14,1.48197E-13,2.77457E-14,5E-14,3E-17,1E-14,1E-14,5E-14,3E-17,1E-14,1E-14
in_n_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_N_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Gamma_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_S_Nplus1 = [,[l/s] (H2),%,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CH4),%,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO),%,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO2),%,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_g_Nplus1 = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
