%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_Segment = [,,%,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,0,0,0,23,0,0,0,24,0,0,0,25,0,0,0,26,0,0,0,27,0,0,0,28,0,0,0,29,0,0,0,30,0,0,0,31,0,0,0,32,0,0,0,33,0,0,0,34,0,0,0,35,0,0,0,36,0,0,0,37,0,0,0,38,0,0,0,39,0,0,0,40,0,0,0,41,0,0,0,42,0,0,0,43,0,0,0,44,0,0,0,45,0,0,0,46,0,0,0,47,0,0,0,48,0,0,0,49,0,0,0,50,0,0,0,51,0,0,0,52,0,0,0,53,0,0,0,54,0,0,0,55,0,0,0,56,0,0,0,57,0,0,0,58,0,0,0
in_d = [,[mm],%,63,0,0,0,63,0,0,0,44.3,0,0,0,44.3,0,0,0,72.1,0,0,0,72.1,0,0,0,45.1,0,0,0,72.1,0,0,0,58,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,12,0,0,0,54,0,0,0,54,0,0,0,63.42,0,0,0,82.26,0,0,0,101.09,0,0,0,50,0,0,0,66.63,0,0,0,99.89,0,0,0,133.14,0,0,0,166.4,0,0,0,199.66,0,0,0,232.91,0,0,0,266.17,0,0,0,299.43,0,0,0,332.68,0,0,0,365.94,0,0,0,367.34,0,0,0,336.88,0,0,0,306.43,0,0,0,275.97,0,0,0,245.52,0,0,0,215.06,0,0,0,184.61,0,0,0,154.15,0,0,0,123.7,0,0,0,93.24,0,0,0,78,0,0,0,44.3,0,0,0,63,0,0,0,63,0,0,0
in_L = [,[mm],%,200,0,0,0,656,0,0,0,1087.9,0,0,0,116.1,0,0,0,6385,0,0,0,6385,0,0,0,4040,0,0,0,2069,0,0,0,863,0,0,0,15,0,0,0,50,0,0,0,15,0,0,0,37,0,0,0,600,0,0,0,120,0,0,0,15,0,0,0,35,0,0,0,15,0,0,0,35,0,0,0,15,0,0,0,35,0,0,0,15,0,0,0,35,0,0,0,15,0,0,0,35,0,0,0,15,0,0,0,35,0,0,0,100,0,0,0,221,0,0,0,376.67,0,0,0,376.67,0,0,0,376.67,0,0,0,290,0,0,0,1662.78,0,0,0,1662.78,0,0,0,1662.78,0,0,0,1662.78,0,0,0,1662.78,0,0,0,1662.78,0,0,0,1662.78,0,0,0,1662.78,0,0,0,1662.78,0,0,0,1662.78,0,0,0,56.83,0,0,0,56.83,0,0,0,56.83,0,0,0,56.83,0,0,0,56.83,0,0,0,56.83,0,0,0,56.83,0,0,0,56.83,0,0,0,56.83,0,0,0,56.83,0,0,0,540,0,0,0,1087.9,0,0,0,656,0,0,0,200,0,0,0
in_dist_ref = [,[mm],%,-22180,0,0,0,-21980,0,0,0,-21324,0,0,0,-20236.1,0,0,0,-20120,0,0,0,-13735,0,0,0,-7350,0,0,0,-3310,0,0,0,-1241,0,0,0,-378,0,0,0,-363,0,0,0,-313,0,0,0,-298,0,0,0,-261,0,0,0,339,0,0,0,459,0,0,0,474,0,0,0,509,0,0,0,524,0,0,0,559,0,0,0,574,0,0,0,609,0,0,0,624,0,0,0,659,0,0,0,674,0,0,0,709,0,0,0,724,0,0,0,759,0,0,0,859,0,0,0,1080,0,0,0,1456.67,0,0,0,1833.33,0,0,0,2210,0,0,0,2500,0,0,0,4162.78,0,0,0,5825.56,0,0,0,7488.34,0,0,0,9151.12,0,0,0,10813.9,0,0,0,12476.68,0,0,0,14139.46,0,0,0,15802.24,0,0,0,17465.02,0,0,0,19127.8,0,0,0,19184.63,0,0,0,19241.46,0,0,0,19298.29,0,0,0,19355.12,0,0,0,19411.95,0,0,0,19468.78,0,0,0,19525.61,0,0,0,19582.44,0,0,0,19639.27,0,0,0,19696.1,0,0,0,20236.1,0,0,0,21324,0,0,0,21980,0,0,0
in_T = [,[K],%,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0
in_S = [,[l/s] (H2),%,0,0,0,0,51.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2446.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.05,0,0,0
,[l/s] (CH4),%,0,0,0,0,0,24.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1155.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.46,0,0
,[l/s] (CO),%,0,0,0,0,0,0,19.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,913.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.41,0
,[l/s] (CO2),%,0,0,0,0,0,0,0,17.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,803.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00E-08,0,0,0,0,0,0.00E+00,0,1.30E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_sigma = [,,%,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0
,,%,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0
,,%,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0
,,%,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22
in_alpha = [,,%,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0,5.00E-05,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
