%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_Segment = [,,%,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0
in_d = [,[mm],%,500,0,0,0,109,0,0,0,122,0,0,0,109,0,0,0,500,0,0,0,109,0,0,0,122,0,0,0,109,0,0,0,500,0,0,0
in_L = [,[mm],%,1006,0,0,0,26,0,0,0,230,0,0,0,26,0,0,0,1017,0,0,0,26,0,0,0,230,0,0,0,26,0,0,0,1030,0,0,0
in_dist_ref = [,[mm],%,0,0,0,0,1006,0,0,0,1032,0,0,0,1262,0,0,0,1288,0,0,0,2305,0,0,0,2331,0,0,0,2561,0,0,0,2587,0,0,0
in_T = [,[K],%,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0
in_S = [,[l/s] (H2),%,0.00E+00,0,0,0,10,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,25,0,0,0,0.00E+00,0,0,0
,[l/s] (CH4),%,0,2.00E+02,0,0,0,6,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,15,0,0,0,2.00E+02,0,0
,[l/s] (CO),%,0,0,0.00E+00,0,0,0,5,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,10,0,0,0,0.00E+00,0
,[l/s] (CO2),%,0,0,0,0.00E+00,0,0,0,5,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,10,0,0,0,0.00E+00
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_sigma = [,,%,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0
,,%,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0
,,%,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0
,,%,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22
in_alpha = [,,%,5.00E-06,0,0,0,1.00E-12,0,0,0,5.00E-06,0,0,0,5.00E-06,0,0,0,5.00E-06,0,0,0,5.00E-06,0,0,0,5.00E-06,0,0,0,5.00E-06,0,0,0,5.00E-06,0,0,0
,,%,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0
,,%,0,0,1.00E-03,0,0,0,1.00E-12,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0
,,%,0,0,0,1.00E-03,0,0,0,1.00E-12,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03,0,0,0,1.00E-03
in_alpha_p = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_i = [,,%,-0.85,0.15,0.15,0.15,0.5,1.5,1.5,1.5,-0.85,0.15,0.15,0.15,-0.93,0.07,0.07,0.07,-0.93,0.07,0.07,0.07,-0.93,0.07,0.07,0.07,-0.93,0.07,0.07,0.07,-0.93,0.07,0.07,0.07,-0.93,0.07,0.07,0.07
,,%,0.01,-0.98,0.02,0.03,0.1,-0.85,0.2,0.3,0.01,-0.98,0.02,0.03,0,-0.98,0.01,0.01,0,-0.98,0.01,0.01,0,-0.98,0.01,0.01,0,-0.98,0.01,0.01,0,-0.98,0.01,0.01,0,-0.98,0.01,0.01
,,%,0.07,0.08,-0.92,0.09,0.7,0.8,-0.2,0.9,0.07,0.08,-0.92,0.09,0.03,0.08,-0.96,0.04,0.03,0.08,-0.96,0.04,0.03,0.08,-0.96,0.04,0.03,0.08,-0.96,0.04,0.03,0.08,-0.96,0.04,0.03,0.08,-0.96,0.04
,,%,0.04,0.04,0.04,-0.96,0.4,0.4,0.4,-0.6,0.04,0.04,0.04,-0.96,0.02,0.04,0.02,-0.98,0.02,0.04,0.02,-0.98,0.02,0.04,0.02,-0.98,0.02,0.04,0.02,-0.98,0.02,0.04,0.02,-0.98,0.02,0.04,0.02,-0.98
in_eta_p_i = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_e = [,,%,3.30E-05,8.33E-07,1.67E-05,1.67E-05,1.80E-05,6.50E-07,4.50E-06,3.90E-06,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05,3.30E-05,8.33E-07,1.67E-05,1.67E-05
in_eta_p_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_eta_ph = [,,%,2.50E-07,2.50E-09,1.25E-08,1.25E-08,1.50E-08,4.00E-10,1.50E-09,2.50E-09,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08,2.50E-07,2.50E-09,1.25E-08,1.25E-08
in_eta_p_ph = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Cbs = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_Qth = [,,%,5.00E-14,3.00E-17,1.00E-14,1.00E-14,1.00E-12,5.00E-15,1.00E-14,5.00E-15,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14,5.00E-14,3.00E-17,1.00E-14,1.00E-14
in_n_e = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_N_e = [,,%,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0,1.60E+13,0,0,0
in_Gamma_ph = [,,%,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0,8.00E+14,0,0,0
in_S_Nplus1 = [,[l/s] (H2),%,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0
,[l/s] (CH4),%,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0
,[l/s] (CO),%,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0
,[l/s] (CO2),%,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00,0,0,0,0.00E+00
in_g_Nplus1 = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
