%,,,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2,H2,CH4,CO,CO2
in_Segment = [,,%,1,0,0,0,2,0,0,0,3,0,0,0,4,0,0,0,5,0,0,0,6,0,0,0,7,0,0,0,8,0,0,0,9,0,0,0,10,0,0,0,11,0,0,0,12,0,0,0,13,0,0,0,14,0,0,0,15,0,0,0,16,0,0,0,17,0,0,0,18,0,0,0,19,0,0,0,20,0,0,0,21,0,0,0,22,0,0,0,23,0,0,0,24,0,0,0,25,0,0,0,26,0,0,0,27,0,0,0,28,0,0,0,29,0,0,0,30,0,0,0,31,0,0,0,32,0,0,0,33,0,0,0,34,0,0,0,35,0,0,0,36,0,0,0,37,0,0,0,38,0,0,0,39,0,0,0,40,0,0,0,41,0,0,0,42,0,0,0,43,0,0,0,44,0,0,0,45,0,0,0,46,0,0,0,47,0,0,0,48,0,0,0,49,0,0,0,50,0,0,0,51,0,0,0,52,0,0,0,53,0,0,0
in_d = [,[mm],%,42.36145372,0,0,0,42.36145372,0,0,0,42.36145372,0,0,0,52.51212271,0,0,0,52.51212271,0,0,0,52.51212271,0,0,0,52.51212271,0,0,0,52.51212271,0,0,0,62.1447258,0,0,0,62.1447258,0,0,0,62.1447258,0,0,0,62.1447258,0,0,0,80,0,0,0,80,0,0,0,80,0,0,0,110,0,0,0,212.7,0,0,0,212.7,0,0,0,212.7,0,0,0,212.7,0,0,0,212.7,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212.7,0,0,0,212.7,0,0,0,212.7,0,0,0,212.7,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,212,0,0,0,56.3,0,0,0,63,0,0,0,80,0,0,0,63,0,0,0,63,0,0,0,63,0,0,0,63,0,0,0,63,0,0,0,57.32980696,0,0,0,57.32980696,0,0,0,52.51212271,0,0,0,52.51212271,0,0,0,52.51212271,0,0,0
in_L = [,[mm],%,478,0,0,0,7700,0,0,0,250,0,0,0,1150,0,0,0,12584,0,0,0,1900,0,0,0,8400,0,0,0,240,0,0,0,2853,0,0,0,258,0,0,0,10230,0,0,0,875,0,0,0,485,0,0,0,645,0,0,0,2000,0,0,0,780,0,0,0,500,0,0,0,3025,0,0,0,400,0,0,0,300,0,0,0,400,0,0,0,500,0,0,0,1350,0,0,0,1350,0,0,0,1350,0,0,0,1350,0,0,0,500,0,0,0,400,0,0,0,300,0,0,0,400,0,0,0,600,0,0,0,400,0,0,0,6675,0,0,0,400,0,0,0,5900,0,0,0,400,0,0,0,5900,0,0,0,400,0,0,0,5900,0,0,0,400,0,0,0,2200,0,0,0,280,0,0,0,2105,0,0,0,180,0,0,0,2440,0,0,0,180,0,0,0,285,0,0,0,655,0,0,0,770,0,0,0,10400,0,0,0,500,0,0,0,11345,0,0,0,1078,0,0,0
in_dist_ref = [,[mm],%,22180,0,0,0,22658,0,0,0,30358,0,0,0,30608,0,0,0,31758,0,0,0,44342,0,0,0,46242,0,0,0,54642,0,0,0,54882,0,0,0,57735,0,0,0,57993,0,0,0,68223,0,0,0,69098,0,0,0,69583,0,0,0,70228,0,0,0,72228,0,0,0,73008,0,0,0,73508,0,0,0,76533,0,0,0,76933,0,0,0,77233,0,0,0,77633,0,0,0,78133,0,0,0,79483,0,0,0,80833,0,0,0,82183,0,0,0,83533,0,0,0,84033,0,0,0,84433,0,0,0,84733,0,0,0,85133,0,0,0,85733,0,0,0,86133,0,0,0,92808,0,0,0,93208,0,0,0,99108,0,0,0,99508,0,0,0,105408,0,0,0,105808,0,0,0,111708,0,0,0,112108,0,0,0,114308,0,0,0,114588,0,0,0,116693,0,0,0,116873,0,0,0,119313,0,0,0,119493,0,0,0,119778,0,0,0,120433,0,0,0,121203,0,0,0,131603,0,0,0,132103,0,0,0,143448,0,0,0
in_T = [,[K],%,15,0,0,0,10,0,0,0,15,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,300,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0,10,0,0,0,15,0,0,0
in_S = [,[l/s] (H2),%,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.1,0,0,0,0,0,0,0,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CH4),%,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.8,0,0,0,0,0,0,0,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO),%,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200.4,0,0,0,0,0,0,0,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,[l/s] (CO2),%,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.9,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_g = [,[torrl/s],%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in_sigma = [,[m2],%,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,8.9E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0,4.45E-23,0,0,0
,,%,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,6.36E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0,0,3.18E-22,0,0
,,%,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,5.5E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0,0,0,2.75E-22,0
,,%,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,8.58E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22,0,0,0,4.29E-22
in_alpha = [,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.005,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0.0000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
