x,5211,5338,5451,5416,AVG,,5211,5338,5451,5416,,,,5211,5338,5451,5416,
12251.3216,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0
12678.9216,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0
12785.8216,0,0,0,0,0,,0,0,0,0,0,,,0,0,0,0,0
12839.2716,1.78E-09,1.80E-09,1.81E-09,1.79E-09,1.79697E-09,,1.70E-09,1.70E-09,1.70E-09,1.60E-09,1.675E-09,,,3.50E-09,2.00E-09,2.40E-09,2.10E-09,2.5E-09
13073.0516,1.87E-09,1.65E-09,1.27E-09,1.10E-09,1.47256E-09,,1.80E-10,9.50E-11,1.50E-10,1.00E-10,1.3125E-10,,,4.00E-09,3.10E-09,3.50E-09,4.20E-09,3.7E-09
13073.2716,1.40E-09,1.08E-09,1.27E-09,1.22E-09,1.24166E-09,,4.90E-11,2.80E-11,4.70E-11,3.10E-11,3.875E-11,,,2.90E-09,1.90E-09,2.40E-09,2.80E-09,2.5E-09
13083.2216,2.21E-10,1.13E-10,1.67E-10,1.76E-10,1.69347E-10,,4.70E-11,1.40E-11,4.00E-11,2.20E-11,3.075E-11,,,5.90E-10,2.10E-10,3.20E-10,3.70E-10,3.725E-10
13096.8016,5.33E-09,2.55E-09,4.37E-09,3.32E-09,3.89283E-09,,1.20E-10,5.90E-11,1.00E-10,6.50E-11,8.6E-11,,,8.30E-09,4.70E-09,7.30E-09,7.80E-09,7.025E-09
13097.0416,9.60E-10,9.02E-10,7.44E-10,6.60E-10,8.16588E-10,,1.20E-10,6.80E-11,1.10E-10,6.80E-11,9.15E-11,,,2.20E-09,1.60E-09,1.60E-09,2.00E-09,1.85E-09
13105.6716,3.00E-10,2.15E-10,2.30E-10,2.10E-10,2.3884E-10,,3.30E-11,1.40E-11,2.80E-11,1.70E-11,2.3E-11,,,6.90E-10,4.30E-10,5.40E-10,6.80E-10,5.85E-10
13105.9216,4.94E-10,3.90E-10,4.66E-10,4.22E-10,4.43109E-10,,2.50E-11,1.10E-11,2.20E-11,1.30E-11,1.775E-11,,,1.20E-09,7.70E-10,1.00E-09,1.20E-09,1.0425E-09
13121.4016,4.18E-11,2.42E-11,3.40E-11,2.97E-11,3.24432E-11,,1.40E-11,7.00E-12,1.30E-11,8.20E-12,1.055E-11,,,6.80E-11,4.00E-11,5.30E-11,5.80E-11,5.475E-11
13128.7016,2.28E-09,1.38E-09,1.88E-09,1.98E-09,1.88021E-09,,6.50E-11,3.40E-11,5.80E-11,3.90E-11,4.9E-11,,,3.90E-09,2.50E-09,3.70E-09,4.00E-09,3.525E-09
13128.9416,5.20E-10,4.59E-10,4.04E-10,3.50E-10,4.33319E-10,,5.50E-11,3.70E-11,5.50E-11,3.90E-11,4.65E-11,,,1.30E-09,1.00E-09,9.90E-10,1.20E-09,1.1225E-09
13137.5716,1.44E-10,1.47E-10,1.17E-10,1.18E-10,1.31638E-10,,4.30E-11,3.50E-11,4.50E-11,3.70E-11,4E-11,,,3.90E-10,4.20E-10,3.40E-10,5.20E-10,4.175E-10
13137.8216,2.03E-10,1.80E-10,1.62E-10,1.44E-10,1.72248E-10,,2.50E-11,1.70E-11,2.40E-11,1.80E-11,2.1E-11,,,6.20E-10,5.20E-10,5.00E-10,7.30E-10,5.925E-10
13148.5516,1.70E-11,1.08E-11,1.34E-11,1.32E-11,1.35963E-11,,8.90E-13,2.10E-13,6.30E-13,4.60E-12,1.5825E-12,,,3.20E-11,2.00E-11,2.50E-11,2.70E-11,2.6E-11
13156.3216,3.75E-10,4.29E-10,3.04E-10,2.73E-10,3.45321E-10,,7.00E-11,4.60E-11,6.20E-11,5.40E-11,5.8E-11,,,1.00E-09,1.00E-09,8.40E-10,1.10E-09,9.85E-10
13156.5516,3.56E-10,4.74E-10,2.97E-10,2.69E-10,3.48967E-10,,9.10E-11,6.20E-11,8.30E-11,7.30E-11,7.725E-11,,,1.20E-09,1.20E-09,9.80E-10,1.40E-09,1.195E-09
13177.7116,1.54E-10,1.85E-10,1.72E-10,1.47E-10,1.6458E-10,,8.60E-11,1.20E-10,1.00E-10,7.80E-11,9.6E-11,,,2.50E-10,2.60E-10,2.60E-10,2.50E-10,2.55E-10
13177.9516,3.29E-10,2.76E-10,3.05E-10,2.95E-10,3.01151E-10,,1.40E-10,1.20E-10,1.40E-10,1.20E-10,1.3E-10,,,5.10E-10,4.20E-10,4.70E-10,5.10E-10,4.775E-10
13208.6516,1.29E-10,9.25E-11,1.44E-10,1.47E-10,1.28086E-10,,6.90E-12,5.30E-12,6.50E-12,4.90E-12,5.89999E-12,,,2.50E-10,2.00E-10,2.70E-10,2.90E-10,2.525E-10
13270.5616,2.49E-10,4.85E-10,2.34E-10,2.76E-10,3.11313E-10,,4.00E-11,3.40E-11,3.70E-11,2.90E-11,3.5E-11,,,6.40E-10,1.50E-09,5.30E-10,8.60E-10,8.825E-10
13270.8116,8.33E-11,8.97E-11,8.19E-11,7.68E-11,8.29214E-11,,2.20E-11,2.00E-11,2.00E-11,1.70E-11,1.975E-11,,,1.40E-10,1.90E-10,1.50E-10,1.70E-10,1.625E-10
13307.2616,1.84E-10,1.24E-10,1.63E-10,1.47E-10,1.54584E-10,,1.20E-10,1.00E-10,1.20E-10,1.00E-10,1.1E-10,,,2.90E-09,2.10E-10,3.10E-09,9.60E-09,3.9525E-09
13307.4616,3.04E-08,2.39E-08,2.88E-08,3.27E-08,2.89441E-08,,3.20E-11,8.50E-10,3.80E-10,1.00E-09,5.655E-10,,,4.40E-08,3.70E-08,1.00E-07,4.80E-08,5.725E-08
13307.4616,3.04E-10,3.62E-10,4.27E-10,3.88E-10,3.70284E-10,,2.60E-10,3.40E-10,3.90E-10,3.50E-10,3.35E-10,,,1.50E-09,3.80E-10,2.30E-09,6.60E-09,2.695E-09
13311.1416,1.87E-09,1.31E-09,1.87E-09,2.05E-09,1.77394E-09,,2.90E-12,2.30E-12,4.40E-12,3.10E-12,3.175E-12,,,3.30E-09,2.40E-09,3.20E-09,3.40E-09,3.075E-09
13311.1416,2.83E-10,2.01E-10,5.19E-10,2.84E-10,3.21845E-10,,6.10E-11,6.70E-11,2.40E-10,2.40E-11,9.8E-11,,,4.80E-10,3.40E-10,7.10E-10,5.20E-10,5.125E-10
13314.6416,7.85E-10,7.58E-10,8.64E-10,7.41E-10,7.87062E-10,,1.10E-11,1.50E-11,1.00E-11,2.00E-11,1.4E-11,,,2.50E-09,1.40E-09,2.50E-09,1.60E-09,2E-09
13314.7416,1.00E-09,8.43E-10,1.12E-09,1.13E-09,1.02344E-09,,1.40E-11,1.10E-11,1.40E-11,1.00E-11,1.225E-11,,,2.10E-09,1.60E-09,2.20E-09,2.00E-09,1.975E-09
13344.1416,7.77E-10,5.83E-10,8.45E-10,8.59E-10,7.6612E-10,,2.10E-11,1.30E-11,3.00E-11,1.10E-11,1.875E-11,,,1.50E-09,1.00E-09,1.80E-09,1.80E-09,1.525E-09
13344.2416,7.36E-10,6.51E-10,7.83E-10,7.79E-10,7.37187E-10,,1.40E-11,1.10E-11,2.00E-11,1.10E-11,1.4E-11,,,1.30E-09,1.00E-09,1.70E-09,1.70E-09,1.425E-09
13347.7416,2.24E-09,1.38E-09,1.84E-09,2.14E-09,1.89964E-09,,1.40E-12,5.80E-13,1.80E-12,1.10E-12,1.22E-12,,,3.20E-09,3.20E-09,3.10E-09,3.60E-09,3.275E-09
13347.7416,1.30E-09,7.18E-10,1.82E-09,6.76E-10,1.12862E-09,,6.10E-10,2.20E-10,1.20E-09,1.70E-10,5.5E-10,,,1.70E-09,1.10E-09,2.50E-09,1.30E-09,1.65E-09
13351.4616,4.71E-10,3.05E-10,4.48E-10,4.29E-10,4.13405E-10,,5.60E-11,4.40E-11,5.60E-11,4.80E-11,5.1E-11,,,1.00E-08,5.20E-10,1.30E-08,2.60E-09,6.52999E-09
13351.4616,2.76E-09,2.89E-09,2.01E-09,2.03E-09,2.42085E-09,,2.30E-09,2.00E-09,1.80E-09,1.70E-09,1.95E-09,,,8.80E-09,3.50E-09,1.00E-08,3.20E-09,6.375E-09
13351.6216,1.25E-10,9.47E-11,1.24E-10,9.71E-11,1.10419E-10,,5.30E-11,6.50E-11,5.90E-11,5.20E-11,5.725E-11,,,9.80E-09,4.80E-10,1.20E-08,2.50E-09,6.195E-09
13388.0816,1.22E-10,1.31E-10,1.30E-10,1.22E-10,1.26496E-10,,1.20E-11,1.10E-11,1.00E-11,1.00E-11,1.075E-11,,,2.20E-10,2.50E-10,2.40E-10,2.70E-10,2.45E-10
13388.3216,2.55E-09,4.24E-09,4.44E-09,3.96E-09,3.79883E-09,,2.40E-09,3.80E-09,4.10E-09,3.70E-09,3.5E-09,,,2.70E-09,5.00E-09,4.80E-09,4.30E-09,4.2E-09
13425.0216,1.00E-10,7.07E-11,1.01E-10,9.73E-11,9.22944E-11,,5.90E-12,4.80E-12,5.20E-12,4.30E-12,5.05E-12,,,1.80E-10,1.20E-10,2.00E-10,2.10E-10,1.775E-10
13480.9316,5.17E-10,6.00E-10,4.69E-10,4.18E-10,5.00997E-10,,3.30E-10,2.30E-10,3.30E-10,2.50E-10,2.85E-10,,,1.30E-09,2.20E-09,1.20E-09,1.90E-09,1.65E-09
13481.1716,4.26E-10,4.53E-10,3.30E-10,3.70E-10,3.94714E-10,,3.00E-10,3.30E-10,2.50E-10,2.60E-10,2.85E-10,,,6.10E-10,1.10E-09,5.40E-10,8.80E-10,7.825E-10
13502.3316,2.00E-10,5.75E-10,1.61E-10,1.73E-10,2.77458E-10,,3.80E-11,2.70E-11,3.30E-11,3.10E-11,3.225E-11,,,1.60E-09,7.50E-09,1.30E-09,2.00E-09,3.1E-09
13502.5716,1.13E-10,2.68E-10,9.37E-11,9.86E-11,1.43323E-10,,3.30E-11,2.30E-11,3.00E-11,2.60E-11,2.8E-11,,,7.10E-10,5.00E-09,6.10E-10,8.40E-10,1.79E-09
13510.3416,6.28E-10,5.43E-10,4.97E-10,5.58E-10,5.56478E-10,,2.90E-10,2.30E-10,2.50E-10,2.30E-10,2.5E-10,,,4.20E-09,3.50E-09,3.90E-09,3.70E-09,3.825E-09
13521.6816,2.04E-10,3.05E-10,2.05E-10,1.48E-10,2.15737E-10,,3.50E-11,2.40E-11,3.40E-11,2.90E-11,3.05E-11,,,4.50E-09,2.70E-09,3.60E-09,4.20E-09,3.75E-09
13521.9216,2.21E-10,3.76E-10,1.94E-10,1.65E-10,2.38753E-10,,4.50E-11,3.20E-11,4.20E-11,3.70E-11,3.9E-11,,,4.40E-09,4.00E-09,3.60E-09,4.40E-09,4.1E-09
13530.5516,2.61E-10,4.99E-10,2.32E-10,2.49E-10,3.10244E-10,,7.90E-11,6.60E-11,7.10E-11,6.90E-11,7.125E-11,,,2.20E-09,4.80E-09,1.80E-09,2.10E-09,2.725E-09
13530.7916,2.78E-10,4.32E-10,2.46E-10,2.05E-10,2.90216E-10,,8.20E-11,6.10E-11,7.60E-11,7.40E-11,7.325E-11,,,1.80E-09,3.30E-09,1.50E-09,1.70E-09,2.075E-09
13538.0916,2.68E-11,3.32E-11,4.02E-11,2.86E-11,3.22244E-11,,1.60E-11,1.10E-11,2.40E-11,1.50E-11,1.65E-11,,,7.50E-11,1.80E-10,6.70E-11,8.50E-11,1.0175E-10
13553.5816,6.22E-10,6.80E-09,7.38E-10,6.28E-10,2.19761E-09,,3.60E-10,3.00E-10,3.80E-10,3.50E-10,3.475E-10,,,4.00E-09,1.90E-07,3.80E-09,4.40E-09,5.055E-08
13553.8216,6.41E-10,9.34E-09,6.76E-10,6.54E-10,2.82849E-09,,3.20E-10,2.70E-10,2.80E-10,3.10E-10,2.95E-10,,,5.70E-09,3.20E-07,4.40E-09,6.30E-09,8.41E-08
13562.4516,1.98E-10,3.67E-10,1.54E-10,1.38E-10,2.14156E-10,,8.00E-11,6.30E-11,6.20E-11,5.60E-11,6.525E-11,,,1.30E-09,3.30E-09,1.90E-09,2.10E-09,2.15E-09
13562.6916,2.64E-09,2.71E-09,2.61E-09,2.29E-09,2.56181E-09,,1.60E-09,2.00E-09,1.90E-09,1.60E-09,1.775E-09,,,3.50E-09,3.20E-09,3.40E-09,3.30E-09,3.35E-09
13575.2716,1.06E-10,2.13E-10,2.99E-10,7.24E-11,1.72637E-10,,1.00E-12,1.00E-12,1.00E-12,1.00E-12,9.99999E-13,,,2.10E-09,2.10E-09,2.00E-09,1.50E-09,1.925E-09
13585.1116,5.81E-10,6.37E-10,3.70E-10,3.24E-10,4.78103E-10,,5.70E-11,3.70E-11,5.30E-11,4.00E-11,4.675E-11,,,3.70E-09,2.50E-09,3.00E-09,3.90E-09,3.275E-09
13585.3516,2.27E-10,4.54E-10,2.74E-10,2.47E-10,3.00355E-10,,6.20E-11,7.90E-11,9.40E-11,8.20E-11,7.925E-11,,,1.70E-09,1.80E-09,1.90E-09,2.40E-09,1.95E-09
13820.6716,1.14E-09,1.10E-09,1.12E-09,1.10E-09,1.11569E-09,,1.00E-09,1.10E-09,1.00E-09,1.10E-09,1.05E-09,,,1.70E-09,1.10E-09,1.50E-09,1.10E-09,1.35E-09
13874.1216,1.14E-09,1.10E-09,1.12E-09,1.10E-09,1.11569E-09,,1.00E-09,1.10E-09,1.00E-09,1.10E-09,1.05E-09,,,1.70E-09,1.10E-09,1.50E-09,1.10E-09,1.35E-09
13981.0216,1.14E-09,1.10E-09,1.12E-09,1.10E-09,1.11569E-09,,1.00E-09,1.10E-09,1.00E-09,1.10E-09,1.05E-09,,,1.70E-09,1.10E-09,1.50E-09,1.10E-09,1.35E-09
14408.6216,1.14E-09,1.10E-09,1.12E-09,1.10E-09,1.11569E-09,,1.00E-09,1.10E-09,1.00E-09,1.10E-09,1.05E-09,,,1.70E-09,1.10E-09,1.50E-09,1.10E-09,1.35E-09
14836.2216,1.14E-09,1.10E-09,1.12E-09,1.10E-09,1.11569E-09,,1.00E-09,1.10E-09,1.00E-09,1.10E-09,1.05E-09,,,1.70E-09,1.10E-09,1.50E-09,1.10E-09,1.35E-09
